run,seed,fold,MAE,RMSE,peakMAE,n
14 조합 + 가중치 0.1,1,2021-08,7.848611718378266,10.529540320007944,10.63882824380068,725
14 조합 + 가중치 0.1,2,ALL,9.515461431257675,17.860958063735364,19.942396558780494,1757
14 조합 + 가중치 0.1,2,2021-05,18.853820580671325,33.53376326074665,18.4652077612681,336
14 조합 + 가중치 0.1,2,2021-06,1.4866711037133424,1.8347168048374178,,48
14 조합 + 가중치 0.1,2,2021-07,8.718483438515605,13.493084475854312,24.372263475807753,648
14 조합 + 가중치 0.1,2,2021-08,6.431509708245267,9.434508300572714,12.06712728744287,725
15 조합 + 가중치 0.05,0,ALL,10.722197562643377,19.326977235990178,19.82010831303995,1757
15 조합 + 가중치 0.05,0,2021-05,20.65741854075685,35.92756735395128,20.757405256813083,336
15 조합 + 가중치 0.05,0,2021-06,1.5810438508443203,2.069168288982169,,48
15 조합 + 가중치 0.05,0,2021-07,8.568855465259688,13.494813455248822,24.208616617437112,648
15 조합 + 가중치 0.05,0,2021-08,8.647586264194901,11.998709952933032,11.80777778546498,725
15 조합 + 가중치 0.05,1,ALL,10.389852599358266,19.123505617131524,20.76154060519695,1757
15 조합 + 가중치 0.05,1,2021-05,20.567809365878432,35.45216129362376,21.188436097259864,336
15 조합 + 가중치 0.05,1,2021-06,1.4687244203741292,1.9472932024650476,,48
15 조합 + 가중치 0.05,1,2021-07,8.631195665383737,13.792649339213046,24.58777341034301,648
15 조합 + 가중치 0.05,1,2021-08,7.835411733504415,11.554401719820335,13.810023826418727,725
15 조합 + 가중치 0.05,2,ALL,10.055249410418952,18.662223434459914,19.32642231725068,1757
15 조합 + 가중치 0.05,2,2021-05,19.479317239415867,34.48320827677538,20.300604728754685,336
15 조합 + 가중치 0.05,2,2021-06,1.402329692996366,1.7412465235772934,,48
15 조합 + 가중치 0.05,2,2021-07,8.223756619209023,13.051166899601558,23.00065046324115,648
15 조합 + 가중치 0.05,2,2021-08,7.897540009863581,11.853670247667091,12.601572999802626,725
16 no_plan 조합,0,ALL,23.374920195256117,42.17513252955253,30.615152460044975,1757
16 no_plan 조합,0,2021-05,21.27619486718664,39.73968560566554,18.154670870157016,336
16 no_plan 조합,0,2021-06,1.3714634422798475,1.6816226732362516,,48
16 no_plan 조합,0,2021-07,10.708385287586816,17.430902674382935,28.63622585516144,648
16 no_plan 조합,0,2021-08,37.12561296014427,57.50684670791472,35.284132253947504,725
16 no_plan 조합,1,ALL,22.989350001097502,41.49919943247065,30.059863993432625,1757
16 no_plan 조합,1,2021-05,20.84847399577371,38.63823711849146,16.92750241912207,336
16 no_plan 조합,1,2021-06,1.3931877465660556,1.731603010593225,,48
16 no_plan 조합,1,2021-07,10.523590551233875,17.551062820956147,28.139698388153707,648
16 no_plan 조합,1,2021-08,36.553160000432584,56.62342505514567,34.681598470893704,725
16 no_plan 조합,2,ALL,23.352820563035433,41.91934069207497,32.84714410420037,1757
16 no_plan 조합,2,2021-05,19.741776273320337,38.268363536256956,16.430639530060443,336
16 no_plan 조합,2,2021-06,1.5247284626702566,1.9005077757816606,,48
16 no_plan 조합,2,2021-07,10.709544559865991,17.3336644833351,28.60881697804945,648
16 no_plan 조합,2,2021-08,37.771995945401784,57.541890511933005,41.9459198386608,725
★ 강화 최종 (아주얕은나무+피크가중),0,ALL,9.217502119115114,16.884973923843653,12.565338769687694,1757
★ 강화 최종 (아주얕은나무+피크가중),0,2021-05,18.968545587535687,32.287812262799285,18.595282205119478,336
★ 강화 최종 (아주얕은나무+피크가중),0,2021-06,1.1580269720096303,1.4543181003902477,,48
★ 강화 최종 (아주얕은나무+피크가중),0,2021-07,6.895690641813966,10.463792741827215,14.19355404700921,648
★ 강화 최종 (아주얕은나무+피크가중),0,2021-08,7.307209759063938,10.477707583850489,9.094182791770583,725
★ 강화 최종 (아주얕은나무+피크가중),1,ALL,9.256364332521049,16.55903489745695,12.627056850057004,1757
★ 강화 최종 (아주얕은나무+피크가중),1,2021-05,18.74947613636046,31.384792236945717,18.59488601116758,336
★ 강화 최종 (아주얕은나무+피크가중),1,2021-06,1.0637112823724078,1.332372301761173,,48
★ 강화 최종 (아주얕은나무+피크가중),1,2021-07,6.992036687605025,10.757892426151265,14.455142799792736,648
