날짜,fold,dow,is_holiday,day_prod,after_prod_end_hours,n,MAE,RMSE,bias,p90_abs_error,under_rate,peak_rate,actual_mean,pred_mean
20210712,2021-07,1,0,17043.0,0,24,4.945487536676148,6.574853507295099,0.4283326312659937,10.139503992155541,0.5,0.25,111.95833333333333,111.53000070206734
20210906,2021-09,1,0,16628.0,0,24,4.938308675430602,7.274793745445688,-2.7616650963737785,12.863979121470821,0.4583333333333333,0.0,103.83333333333333,106.5949984297071
20210903,2021-09,5,0,12845.0,0,24,4.826345625694026,6.274751382041344,2.3249241670806424,9.340016980288823,0.5833333333333334,0.08333333333333333,132.375,130.05007583291936
20210826,2021-08,4,0,20064.0,0,24,4.815181130661473,6.234065100262396,-0.3701313709429807,10.485422713975732,0.3333333333333333,0.2916666666666667,138.45833333333334,138.8284647042763
20210910,2021-09,5,0,18789.0,0,24,4.767446711284679,6.267721213799577,2.712385910157037,11.618490386596465,0.7083333333333334,0.20833333333333334,134.16666666666666,131.45428075650963
20210521,2021-05,5,0,24516.0,0,24,4.547337050805013,6.019712398290312,0.06558851037584794,10.499881436033096,0.5,0.0,116.79166666666667,116.72607815629082
20210710,2021-07,6,0,487.0,16,24,3.923523868140448,4.907947211985145,0.5865605316622687,8.728726198695513,0.5833333333333334,0.0,46.208333333333336,45.62177280167106
20210802,2021-08,1,0,0.0,0,24,3.8832659879772113,5.393562414416031,2.817366313308778,9.689446565884369,0.6666666666666666,0.0,21.458333333333332,18.640967020024558
20210717,2021-07,6,0,1867.0,16,24,3.8462334317344307,6.842263003733359,-3.2432258407235692,9.947947544821618,0.375,0.0,44.0,47.24322584072357
20210808,2021-08,7,0,0.0,0,24,3.483977103930934,3.754496765952564,-1.4251771977650562,4.895588114993235,0.3333333333333333,0.0,21.375,22.800177197765056
20210724,2021-07,6,0,2319.0,16,24,3.4756493292531103,4.703720582765008,-1.6153356484654555,8.60575803125144,0.5833333333333334,0.0,45.0,46.615335648465454
20210807,2021-08,6,0,0.0,0,24,3.222494321301692,4.245627607730435,-1.6400871821646341,8.462599543083861,0.4166666666666667,0.0,21.666666666666668,23.306753848831303
20210731,2021-07,6,0,0.0,0,24,3.072390450284868,4.770905081757772,-2.8541656500483494,9.566326906930195,0.20833333333333334,0.0,21.541666666666668,24.39583231671502
20210703,2021-07,6,0,1735.0,16,24,2.601853926646014,4.3691255682578,-1.8076219334094406,4.7689800961377875,0.25,0.0,45.416666666666664,47.22428860007611
20210803,2021-08,2,0,0.0,0,24,2.4097069453653375,2.8637677538983994,1.6139411020126697,4.4978836935363535,0.7083333333333334,0.0,21.625,20.01105889798733
20210829,2021-08,7,0,0.0,0,12,2.358143755936831,2.6015000227770555,-1.7658651318573966,3.5831502932137775,0.16666666666666666,0.0,21.583333333333332,23.349198465190728
20210515,2021-05,6,0,742.0,16,24,2.156918150509055,3.126728734859403,-0.6004761233782357,5.222898616574517,0.625,0.0,42.458333333333336,43.05880945671157
20210529,2021-05,6,0,3071.0,16,24,1.8553993607901678,3.421018614734754,0.09937670169795017,2.863991064019042,0.375,0.0,43.916666666666664,43.81728996496872
20210627,2021-06,7,0,0.0,0,24,1.8254615889507342,2.1623200084077996,1.8135021787346917,3.7383502351246776,0.9583333333333334,0.0,24.291666666666668,22.478164487931974
20210804,2021-08,3,0,0.0,0,24,1.793283099118848,2.4345068902110674,0.7963915175732609,4.087392353946408,0.5833333333333334,0.0,21.375,20.57860848242674
20210805,2021-08,4,0,0.0,0,24,1.7382383679822944,2.0626638800141768,0.6405318101634373,3.241249058577798,0.6666666666666666,0.0,21.541666666666668,20.90113485650323
20210806,2021-08,5,0,0.0,0,24,1.6853831960232608,2.040870085499997,0.539421006465806,3.141175931465735,0.5,0.0,21.875,21.335578993534195
20210725,2021-07,7,0,0.0,0,24,1.2605313400044862,1.5263017430562678,1.2344953618087489,2.8374802153854874,0.9583333333333334,0.0,24.541666666666668,23.307171304857917
20210815,2021-08,7,1,0.0,0,24,1.2167680423613223,1.4457742195874659,-1.2110212256402482,2.3426045736596515,0.041666666666666664,0.0,22.166666666666668,23.377687892306913
20210523,2021-05,7,0,0.0,0,24,1.1452564892124917,1.3903936915148771,0.6583973837112881,2.467319657869597,0.7916666666666666,0.0,21.25,20.59160261628871
20210822,2021-08,7,0,0.0,0,24,1.08348870593628,1.224055322892245,-0.749753217771068,1.7031669949619739,0.25,0.0,22.833333333333332,23.5830865511044
20210620,2021-06,7,0,0.0,0,24,1.0152189273744274,1.2651425111163117,0.5421207641436001,1.9476430190698215,0.5416666666666666,0.0,22.958333333333332,22.416212569189728
20210912,2021-09,7,0,0.0,0,24,0.9911326128157091,1.2038779227843353,0.9911326128157091,2.197325509163249,1.0,0.0,23.333333333333332,22.342200720517624
20210711,2021-07,7,0,0.0,0,24,0.9682686020723632,1.2383718713811285,0.2809313738762002,1.8066212596013966,0.4583333333333333,0.0,23.541666666666668,23.260735292790468
20210905,2021-09,7,0,0.0,0,24,0.865197504040036,1.1704728823685042,0.6618434211106209,1.9209613663078238,0.6666666666666666,0.0,22.875,22.21315657888938
20210704,2021-07,7,0,0.0,0,24,0.8625049519524272,1.0280138261782974,-0.024368300325142478,1.5002644507486376,0.375,0.0,23.333333333333332,23.35770163365848
20210718,2021-07,7,0,0.0,0,24,0.7731360746684616,1.0200331294101963,0.33760721869956195,1.8213076183153867,0.5416666666666666,0.0,23.625,23.28739278130044
