run,seed,fold,MAE,RMSE,peakMAE,n
25 LGBM+Ridge 7:3,0,ALL,10.936597900632831,17.791740610791944,17.767887228259692,1757
25 LGBM+Ridge 7:3,0,2021-05,19.531486584307316,32.397224604197255,21.54773497783745,336
25 LGBM+Ridge 7:3,0,2021-06,1.5038686013490077,1.884071660947653,,48
25 LGBM+Ridge 7:3,0,2021-07,8.752618144719527,12.224408898014142,19.516974328888708,648
25 LGBM+Ridge 7:3,0,2021-08,9.529849335781542,12.120510990034825,14.275690559616224,725
25 LGBM+Ridge 7:3,1,ALL,11.009290207044831,17.75577045860192,18.238438776479956,1757
25 LGBM+Ridge 7:3,1,2021-05,19.251945035296437,32.033628009084865,21.051057603098933,336
25 LGBM+Ridge 7:3,1,2021-06,1.5690628410010241,1.9616186470732395,,48
25 LGBM+Ridge 7:3,1,2021-07,8.660707472327639,12.19378621956284,19.884438645489322,648
25 LGBM+Ridge 7:3,1,2021-08,9.913401246181799,12.46249429004433,15.017367186285922,725
25 LGBM+Ridge 7:3,2,ALL,10.687073639680042,17.71721526960018,17.41342953811546,1757
25 LGBM+Ridge 7:3,2,2021-05,19.40198311887223,32.68392140440186,22.721203361028255,336
25 LGBM+Ridge 7:3,2,2021-06,1.581940284405257,1.9795072019069502,,48
25 LGBM+Ridge 7:3,2,2021-07,8.600185834780293,12.07758327851754,19.109676408404088,648
25 LGBM+Ridge 7:3,2,2021-08,9.116232417086456,11.619426784521638,13.882687489794538,725
26 공휴일 피처,0,ALL,9.252053918617849,17.27638341712575,16.925184295299946,1757
26 공휴일 피처,0,2021-05,18.293183263981547,32.62127485243368,15.67001093561808,336
26 공휴일 피처,0,2021-06,1.4144819875926082,1.7485770427772176,,48
26 공휴일 피처,0,2021-07,7.752955588381245,12.213185051099774,21.303100872155024,648
26 공휴일 피처,0,2021-08,6.920743174673476,9.830322983814234,9.12431516165672,725
26 공휴일 피처,1,ALL,9.706362097040067,17.68454838373787,18.699740823044696,1757
26 공휴일 피처,1,2021-05,17.511597700722113,32.146449586143305,14.960471828848773,336
26 공휴일 피처,1,2021-06,1.3993251270498153,1.755697358337725,,48
26 공휴일 피처,1,2021-07,8.641170289817703,13.879350029058726,23.33598597179872,648
26 공휴일 피처,1,2021-08,7.59108334228483,10.325269738295573,10.649970553734427,725
26 공휴일 피처,2,ALL,9.445868647454695,17.509864973738907,17.022773915162723,1757
