model,fset,clone,MAE,RMSE,peakMAE,n,group,part
ridge,no_plan,drop,29.338611111607506,40.05347368793069,41.51880516681715,2885.0,전체,개발 합산
ridge,no_plan,keep,15.772337787038579,23.62800110386792,21.212038834950544,2885.0,전체,개발 합산
baseline_lag168,-,keep,24.262096774193548,46.697335352590066,33.38461538461539,744.0,전체,2021-05
baseline_lag24,-,keep,47.97715053763441,70.26595980648725,87.84615384615384,744.0,전체,2021-05
baseline_요일x시간 평균,-,keep,29.8092100639539,38.09559000351671,28.9683257918552,744.0,전체,2021-05
baseline_전체 평균,-,keep,47.09869978345281,54.50195773650066,84.83111645299148,744.0,전체,2021-05
ensemble,full,down,17.975610670656543,30.64787279911696,26.40333981078772,744.0,전체,2021-05
ensemble,full,drop,31.039065759303877,42.780632873578014,15.770799877742231,744.0,전체,2021-05
ensemble,full,keep,17.732421274476547,30.96318288243241,24.70067238765622,744.0,전체,2021-05
ensemble,no_plan,down,18.80396369118885,32.21913144879346,24.63044728160814,744.0,전체,2021-05
ensemble,no_plan,drop,30.856099154382456,41.820884810222445,29.858447086116897,744.0,전체,2021-05
ensemble,no_plan,keep,19.893164277494694,33.54240276368313,26.615958150685856,744.0,전체,2021-05
lgbm,full,down,18.59559114861803,31.957358310850122,28.839839480896295,744.0,전체,2021-05
lgbm,full,drop,29.40150048405368,40.64060757732851,32.11820321538191,744.0,전체,2021-05
lgbm,full,keep,17.928536071252232,31.579663326141787,25.85796528775018,744.0,전체,2021-05
lgbm,no_plan,down,19.40857823592712,33.86830379201935,26.487924051853803,744.0,전체,2021-05
lgbm,no_plan,drop,36.15700905421826,47.121680214917696,40.988234697843964,744.0,전체,2021-05
lgbm,no_plan,keep,20.32254239908603,35.73353807246257,29.078170658020547,744.0,전체,2021-05
ridge,full,down,22.175409506773747,31.87059334204442,24.022447214942936,744.0,전체,2021-05
ridge,full,drop,181.65912660858456,222.17073160260978,253.32865083912696,744.0,전체,2021-05
ridge,full,keep,23.46290208353595,33.52387403781441,25.83185837650884,744.0,전체,2021-05
ridge,no_plan,down,22.27562996539222,33.301813808635366,25.216695579178175,744.0,전체,2021-05
ridge,no_plan,drop,30.856099154382456,41.820884810222445,29.858447086116897,744.0,전체,2021-05
ridge,no_plan,keep,22.53199561227578,34.03275052908923,24.755670932074622,744.0,전체,2021-05
baseline_lag168,-,keep,6.666666666666667,9.561642118381132,13.577464788732394,720.0,전체,2021-06
baseline_lag24,-,keep,34.736111111111114,59.18835283323156,61.74647887323944,720.0,전체,2021-06
baseline_요일x시간 평균,-,keep,27.129900192400196,32.185270429932004,36.01664532650449,720.0,전체,2021-06
baseline_전체 평균,-,keep,49.39051692420899,56.07714581388185,87.59080309672603,720.0,전체,2021-06
ensemble,full,down,8.138060973387,11.618654684043142,15.446360060896536,720.0,전체,2021-06
